temps,info
2021-07-05 15:39:51,GET /profil 200 7321 - 3.247 ms

2021-07-05 15:39:52,GET /css/admin.css 404 152 - 3.916 ms

2021-07-05 15:40:00,GET /profil 200 7321 - 9.470 ms

2021-07-05 15:40:00,GET /css/admin.css 404 152 - 2.229 ms

2021-07-05 15:40:06,GET /profil 200 7268 - 7.940 ms

2021-07-05 15:40:06,GET /css/admin.css 404 152 - 2.018 ms

2021-07-05 15:40:09,DELETE /logout?_method=DELETE 302 64 - 3.319 ms

2021-07-05 15:40:09,GET /connecter 200 6458 - 5.587 ms

2021-07-05 15:40:17,POST /connecter 302 58 - 100.853 ms

2021-07-05 15:40:17,GET /profil 304 - - 17.215 ms

2021-07-05 15:40:17,GET /css/admin.css 404 152 - 2.796 ms

2021-07-05 15:41:37,GET /profil 200 7263 - 6.224 ms

2021-07-05 15:41:37,GET /css/admin.css 404 152 - 2.407 ms

2021-07-05 15:43:03,GET /profil 200 7264 - 3.500 ms

2021-07-05 15:43:04,GET /css/admin.css 404 152 - 2.144 ms

2021-07-05 15:44:07,GET /saisie 304 - - 11.351 ms

2021-07-05 15:44:07,GET /css/PageSaisie.css 404 157 - 2.866 ms

2021-07-05 15:45:00,GET /profil 304 - - 6.664 ms

2021-07-05 15:45:01,GET /css/admin.css 404 152 - 3.033 ms

2021-07-05 15:45:05,GET /verifier 304 - - 30.599 ms

2021-07-05 15:45:06,GET /css/verification.css 404 159 - 3.270 ms

2021-07-05 15:45:12,GET /profil 304 - - 3.455 ms

2021-07-05 15:45:12,GET /css/admin.css 404 152 - 2.046 ms

2021-07-05 15:45:15,GET /profil 304 - - 5.155 ms

2021-07-05 15:45:15,GET /css/admin.css 404 152 - 1.551 ms

2021-07-05 15:45:17,GET /profil 304 - - 3.815 ms

2021-07-05 15:45:17,GET /css/admin.css 404 152 - 2.276 ms

2021-07-05 15:51:10,GET /saisie 200 37210 - 12.582 ms

2021-07-05 15:51:10,GET /css/PageSaisie.css 404 157 - 6.884 ms

2021-07-05 15:52:07,GET /saisie 200 37426 - 12.389 ms

2021-07-05 15:52:07,GET /css/PageSaisie.css 404 157 - 2.200 ms

2021-07-05 15:53:08,GET /saisie 200 37437 - 9.383 ms

2021-07-05 15:53:08,GET /css/PageSaisie.css 404 157 - 2.294 ms

2021-07-05 15:53:49,GET /saisie 200 37463 - 10.012 ms

2021-07-05 15:53:49,GET /css/PageSaisie.css 404 157 - 2.418 ms

2021-07-05 15:54:33,GET /saisie 200 37491 - 8.734 ms

2021-07-05 15:54:33,GET /css/PageSaisie.css 404 157 - 2.293 ms

2021-07-05 15:54:51,GET /saisie 200 37463 - 9.322 ms

2021-07-05 15:54:51,GET /css/PageSaisie.css 404 157 - 1.672 ms

2021-07-05 15:56:28,GET /saisie 200 37675 - 13.600 ms

2021-07-05 15:56:28,GET /css/PageSaisie.css 404 157 - 2.192 ms

2021-07-05 15:56:43,GET /saisie 200 37645 - 6.969 ms

2021-07-05 15:56:44,GET /css/PageSaisie.css 404 157 - 3.108 ms

2021-07-05 15:56:56,GET /saisie 200 37619 - 9.510 ms

2021-07-05 15:56:56,GET /css/PageSaisie.css 404 157 - 3.059 ms

2021-07-05 15:57:13,GET /saisie 200 37619 - 9.643 ms

2021-07-05 15:57:13,GET /css/PageSaisie.css 404 157 - 2.398 ms

2021-07-05 15:57:23,GET /saisie 200 37619 - 11.723 ms

2021-07-05 15:57:23,GET /css/PageSaisie.css 404 157 - 126.769 ms

2021-07-05 15:57:56,GET /saisie 200 37675 - 11.224 ms

2021-07-05 15:57:57,GET /css/PageSaisie.css 404 157 - 2.674 ms

2021-07-05 15:58:10,GET /saisie 200 37619 - 16.274 ms

2021-07-05 15:58:10,GET /css/PageSaisie.css 404 157 - 2.320 ms

2021-07-05 15:58:21,GET /verifier 304 - - 6.899 ms

2021-07-05 15:58:21,GET /css/verification.css 404 159 - 2.378 ms

